"Electricity statistics (MW/GWh) by Country/area, Technology, Data Type, Grid connection and Year"

"Country/area","Technology","Data Type","Grid connection","Year",Electricity statistics (MW/GWh)
"Albania","Solid biofuels","Electricity Installed Capacity (MW)","On-grid","2020",-
"Albania","Solid biofuels","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Albania","Renewable municipal waste","Electricity Generation (GWh)","All","2020",-
"Albania","Renewable municipal waste","Electricity Generation (GWh)","On-grid","2020",-
"Albania","Renewable municipal waste","Electricity Generation (GWh)","Off-grid","2020",-
"Albania","Renewable municipal waste","Electricity Installed Capacity (MW)","All","2020",1.43
"Albania","Renewable municipal waste","Electricity Installed Capacity (MW)","On-grid","2020",1.43
"Albania","Renewable municipal waste","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Albania","Liquid biofuels","Electricity Generation (GWh)","All","2020",-
"Albania","Liquid biofuels","Electricity Generation (GWh)","On-grid","2020",-
"Albania","Liquid biofuels","Electricity Generation (GWh)","Off-grid","2020",-
"Albania","Liquid biofuels","Electricity Installed Capacity (MW)","All","2020",-
"Albania","Liquid biofuels","Electricity Installed Capacity (MW)","On-grid","2020",-
"Albania","Liquid biofuels","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Albania","Biogas","Electricity Generation (GWh)","All","2020",-
"Albania","Biogas","Electricity Generation (GWh)","On-grid","2020",-
"Albania","Biogas","Electricity Generation (GWh)","Off-grid","2020",-
"Albania","Biogas","Electricity Installed Capacity (MW)","All","2020",-
"Albania","Biogas","Electricity Installed Capacity (MW)","On-grid","2020",-
"Albania","Biogas","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Albania","Geothermal energy","Electricity Generation (GWh)","All","2020",-
"Albania","Geothermal energy","Electricity Generation (GWh)","On-grid","2020",-
"Albania","Geothermal energy","Electricity Generation (GWh)","Off-grid","2020",-
"Albania","Geothermal energy","Electricity Installed Capacity (MW)","All","2020",-
"Albania","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2020",-
"Albania","Geothermal energy","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Albania","Total Non-Renewable","Electricity Generation (GWh)","All","2020",-
